Date,Perry North,ALCOSAN,Shaler,Kennedy Twp.,Upper St. Clair,Carnegie,Greentree,Lawrenceville,University of Pittsburgh,Highland Park,Nine Mile Run,Baldwin,Braddock,Churchill,Trafford,Castle Shannon,Bridgeville,Oakdale,Penn Hills North,Penn Hills South,Moon Twp,North Fayette,Findlay,Pleasant Hills,White Oak,Elizabeth Twp.,Marshall,Plum,Bell Acres,Franklin Park,Hampton,Arnold,Richland
3/8/20 14:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/8/20 14:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/8/20 14:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/8/20 14:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/8/20 15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/8/20 15:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/8/20 15:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/8/20 15:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/8/20 16:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/8/20 16:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/8/20 16:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/8/20 16:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/8/20 17:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/8/20 17:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/8/20 17:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/8/20 17:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/8/20 18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/8/20 18:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/8/20 18:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/8/20 18:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/8/20 19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/8/20 19:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/8/20 19:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/8/20 19:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/8/20 20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/8/20 20:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/8/20 20:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/8/20 20:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/8/20 21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/8/20 21:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/8/20 21:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/8/20 21:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/8/20 22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/8/20 22:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/8/20 22:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/8/20 22:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/8/20 23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/8/20 23:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/8/20 23:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/8/20 23:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 0:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 0:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 0:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 1:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 1:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 1:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 2:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 2:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 2:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 2:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 3:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 3:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 3:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 3:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 4:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 4:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 4:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 4:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 5:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 5:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 5:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 5:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 6:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 6:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 6:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 6:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 7:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 7:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 7:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 7:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 8:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 8:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 8:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 8:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 9:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 9:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 9:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 9:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 10:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 10:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 10:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 11:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 11:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 11:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 12:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 12:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 12:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 13:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 13:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 13:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 13:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 14:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 14:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 14:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 14:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 15:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 15:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 15:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 16:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 16:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 16:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 16:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 17:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 17:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 17:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 17:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 18:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 18:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 18:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 19:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 19:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 19:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 20:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 20:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 20:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 21:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 21:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 21:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 22:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 22:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 22:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 23:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 23:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/9/20 23:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/10/20 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/10/20 0:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/10/20 0:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/10/20 0:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/10/20 1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/10/20 1:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/10/20 1:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/10/20 1:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/10/20 2:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/10/20 2:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/10/20 2:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/10/20 2:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/10/20 3:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/10/20 3:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/10/20 3:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/10/20 3:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/10/20 4:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/10/20 4:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0.01,-99999,0,0,0,0,0,0.01,0,0,0,0
3/10/20 4:30,0,0.01,0.01,0,0.01,0.01,0.01,0.01,0,0,0,0,0,0,-9999,0,0.01,0,0,0,0.01,0.01,-99999,0,0,0,0,0,0.01,0,0.01,0,0.01
3/10/20 4:45,0,0,0,0,0,0.01,0.01,0.02,0.01,0.01,0,0.01,0,0,-9999,0.01,0.01,0,0.01,0,0.02,0.01,-99999,0,0,0,0,0,0.02,0,0.01,0,0.02
3/10/20 5:00,0.01,0.01,0.02,0,0.02,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,-9999,0.01,0.01,0,0,0,0,0.01,-99999,0.05,0,0,0,0.01,0.01,0,0.02,0.01,0.02
3/10/20 5:15,0,0,0.01,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,-9999,0.01,0.01,0.01,0.02,0,0.01,0.01,-99999,0.01,0,0.01,0.01,0.02,0.01,0,0.01,0.02,0.02
3/10/20 5:30,0,0.01,0,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0,0.01,0.02,-9999,0.01,0,0.01,0.01,0,0,0,-99999,0.01,0,0.01,0.01,0.01,0,0.01,0,0.01,0.01
3/10/20 5:45,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0.01,0,0,0,0,-99999,0,0,0,0.01,0.02,0,0.01,0,0.01,0
3/10/20 6:00,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0.01,0,0,0,0,-99999,0,0,0,0.01,0,0,0.02,0,0,0
3/10/20 6:15,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,-9999,0,0.01,0.01,0,0.01,0.01,0.01,-99999,0,0.01,0,0.01,0,0,0,0.01,0,0
3/10/20 6:30,0.01,0,0,0.01,0,0,0,0.01,0.01,0.01,0.01,0.01,0,0,-9999,0,0,0,0.01,0.01,0,0,-99999,0,0.01,0,0,0,0.01,0.01,0,0.01,0
3/10/20 6:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,-9999,0,0,0,0,0,0,0,-99999,0,0.01,0,0,0,0,0,0,0,0
3/10/20 7:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/10/20 7:15,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/10/20 7:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/10/20 7:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
3/10/20 8:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,-99999,0,0,0,0,0,0,0,0,0,0
